,Dataset,Category,HeadLines
0,bbc dataset,entertainment,'زیادہ پانی پینا بھی خطرناک ہو سکتا ہے'
1,bbc dataset,entertainment,'شاہ رخ سے رومانس نہ کرنے کا ملال نہیں'
2,bbc dataset,entertainment,'مومنہ ایک سیلفی پلیز'
3,bbc dataset,entertainment,'پرینکا مس ورلڈ بنیں تو میں سکول میں تھی'  
4,bbc dataset,entertainment,'گیلیکسی نوٹ سیون کی پروڈکشن بند'
5,bbc dataset,entertainment,100 خواتین ایزابیلا کے لیے امتیازی سلوک ایک مہمیز ثابت ہوا
6,bbc dataset,entertainment,12 گھنٹوں میں مریخ پر رہنا سیکھیں
7,bbc dataset,entertainment,14 نومبر کو معمول سے زیادہ بڑا اور روشن چاند
8,bbc dataset,entertainment,17 کروڑ ڈالر کے قیمتی پتھر ’یشمِ سبز‘ کی دریافت
9,bbc dataset,entertainment,20 سال کے بعد اروندھتی رائے کے نئے ناول کی اشاعت کا اعلان
10,bbc dataset,entertainment,2016 میں پاکستانی ڈرامہ نڈر ہو گیا؟
11,bbc dataset,entertainment,2016 کی اہم دریافتیں دوست بلیاں اور ہینی بال کے گھوڑے
12,bbc dataset,entertainment,2016 کے دوران طب کی دنیا میں برفانی پانی، زیکا اور تین والدین کا بچہ
13,bbc dataset,entertainment,2016 کے مقبول ٹوئٹر ٹرینڈز
14,bbc dataset,entertainment,2025 سے ڈیزل سے چلنے والی گاڑیوں پر پابندی کا اعلان
15,bbc dataset,entertainment,86 بیویوں والا شخص چل بسا
16,bbc dataset,entertainment,آئی فون کے دس سال سمارٹ فون اتنا سمارٹ کیسے بنا؟
17,bbc dataset,entertainment,آئی فونز کی فروخت توقع سے زیادہ تاہم منافع میں کمی
18,bbc dataset,entertainment,آخری رسومات عقائد کے برخلاف
19,bbc dataset,entertainment,آسٹریلیا کپڑوں میں لپٹی ڈولفن کی تلاش
20,bbc dataset,entertainment,آسکر ایوارڈز میں ملبوسات و جواہرات کی چمک
21,bbc dataset,entertainment,آسکرز ایوارڈ 2017 تصاویر میں
22,bbc dataset,entertainment,آلودگی کے ذرّات کی انسانی دماغ تک رسائی
23,bbc dataset,entertainment,آپریشن کے ذریعے پیدائش سے انسانی ارتقا میں خلل
24,bbc dataset,entertainment,اب ’واٹسن‘ کمپیوٹر امراض کی تشخیص کرے گا
25,bbc dataset,entertainment,اداکاری کے بعد قطرینہ کیف اب فلم سازی کے لیے تیار
26,bbc dataset,entertainment,افریقہ میں ہاتھیوں کی گنتی کیسے ممکن؟
27,bbc dataset,entertainment,افریقہ کو ڈرونز سے کیا مسئلہ ہے؟
28,bbc dataset,entertainment,افریقی ہاتھیوں کی پناہ گاہ شکاریوں کی نظر میں
29,bbc dataset,entertainment,افغانستان ہم جنس پرستوں کی خفیہ زندگی
30,bbc dataset,entertainment,امریکہ برہنہ سیلفی کے چکر میں لڑکی پولیس کی کار سے ٹکرا گئی
31,bbc dataset,entertainment,امریکہ مریخ پر انسان بھیجنے کے لیے نجی کمپنیوں کے ساتھ کام کرے گا
32,bbc dataset,entertainment,امریکہ میں بچوں میں روایتی ہوپ ڈانس کی تعلیم متعارف
33,bbc dataset,entertainment,امریکہ نے پروازوں میں سام سنگ گیلیکسی نوٹ سیون فونز لانے پر پابندی عائد کر دی
34,bbc dataset,entertainment,امریکہ کے نومنتخب صدر سے ملیے
35,bbc dataset,entertainment,امن کا نوبیل انعام کولمبین صدر خوان مینوئل سانتوس کے نام
36,bbc dataset,entertainment,امپلانٹ کروانے والی خواتین کا ریکارڈ رکھنے کا فیصلہ
37,bbc dataset,entertainment,انٹارکٹکا میں بحیرۂ راس کو مکمل تحفظ دینے پر اتفاق
38,bbc dataset,entertainment,انڈونیشیا میں حجاب کا بڑھتا رجحان
39,bbc dataset,entertainment,انڈیا سے ’ڈانسنگ گرل آف موہنجودڑو‘ کی واپسی کا مطالبہ کریں گے جمال شاہ
40,bbc dataset,entertainment,انڈیا میں نوجوان  لڑکے کی ’دُم‘ کا آپریشن
41,bbc dataset,entertainment,انڈیا میں پاکستانی چائے والے کی دھوم
42,bbc dataset,entertainment,انڈیا میں پسماندہ مقامات تک انٹرنیٹ کی رسائی
43,bbc dataset,entertainment,انڈیا میں کیش کے بغیر زندگی 
44,bbc dataset,entertainment,انڈیا کی نوجوان گلوکارہ ناہید آفرین کے خلاف فتوے کی حقیقت کیا ہے؟
45,bbc dataset,entertainment,انڈیا کے مارمن پیار کی تلاش میں
46,bbc dataset,entertainment,اوم پوری کا پیار
47,bbc dataset,entertainment,اٹلی کا جن اتارنے والا پادری
48,bbc dataset,entertainment,ایزی جیٹ کی ’سب سے کم عمر کمرشل پائلٹ‘
49,bbc dataset,entertainment,ایشوریہ اداکارہ یا سابقہ مس ورلڈ؟
50,bbc dataset,entertainment,ایشوریہ اور رنبیر کے ہاٹ سینز پر سینسر بورڈ کی قینچی
51,bbc dataset,entertainment,ایشوریہ رائے کی اداکاری پر سوال؟
52,bbc dataset,entertainment,ایشوریہ کی بیٹی نے رنبیر کو پاپا سمجھ لیا
53,bbc dataset,entertainment,اینجلینا جولی بریڈ پِٹ کو ’طلاق دے رہی ہیں‘
54,bbc dataset,entertainment,اینجلینا جولی کے نام کی مکڑی؟
55,bbc dataset,entertainment,ایپل خودکار گاڑی تیار کر رہی ہے
56,bbc dataset,entertainment,ایک انوکھي ٹيبليٹ 
57,bbc dataset,entertainment,بالی وڈ 2016 میں کئی تنازعوں اور بریک اپ کی کہانیوں میں گھرا رہا
58,bbc dataset,entertainment,بالی وڈ راؤنڈ اپ سنیے
59,bbc dataset,entertainment,بالی وڈ سپرسٹار سلمان خان کی فنی زندگی پر ایک نظر
60,bbc dataset,entertainment,بالی وڈ شخصیت میں دلیپ کمار کی زندگی پر نظر
61,bbc dataset,entertainment,بالی وڈ میں خواتین اداکاروں کا کیا مرتبہ؟ 
62,bbc dataset,entertainment,بالی وڈ کی چٹ پٹی خبریں سنیے بالی ووڈ راؤنڈ اپ میں
63,bbc dataset,entertainment,برفباری کے دوران ٹرین اور ٹرک کی آپس میں ٹکر
64,bbc dataset,entertainment,برکینی میں مقابلۂ حسن میں شرکت
65,bbc dataset,entertainment,بریسٹ کینسر سے متعلق آگاہی کی ویڈیو ہٹانے پر فیس بک کی معافی
66,bbc dataset,entertainment,بریک اپ اور سگائیاں آخر ہو کیا رہا ہے؟
67,bbc dataset,entertainment,بغداد کی دیواروں پر رنگوں کی بہار
68,bbc dataset,entertainment,بندر کی مفت کی سواری
69,bbc dataset,entertainment,بڑے ناموں سے جڑے رنبیر کپور کی کہانی
70,bbc dataset,entertainment,بہار کی آمد پر رنگوں کا تہوار ہولی منایا جا رہا ہے
71,bbc dataset,entertainment,بےنام زبان
72,bbc dataset,entertainment,تھائی لینڈ کے شہر پٹایا میں ٹرانسجینڈر مقابلہ حسن کا انعقاد
73,bbc dataset,entertainment,تہران میں نوروز کے رنگ
74,bbc dataset,entertainment,جاپانی سائنس دان یوشینوری اوشومی کے لیے طب کا نوبیل انعام
75,bbc dataset,entertainment,جب رکشہ چلانے والے رضوان الدین فلم سٹار بن گئے
76,bbc dataset,entertainment,جب فرار کے دوران پٹرول ختم ہو جائے
77,bbc dataset,entertainment,جنگ اور فن و ادب
78,bbc dataset,entertainment,جگجیت سنگھ کو انڈیا میں انہیں غزل گائیکی کا معمار مانا جاتا ہے
79,bbc dataset,entertainment,جیجی حدید بین الاقوامی ماڈل آف دی ایئر
80,bbc dataset,entertainment,جے للیتا کا آخری کردار
81,bbc dataset,entertainment,جے للیتا کے سوگ میں لوگوں نے سر منڈوانا شروع کر دیا
82,bbc dataset,entertainment,حالات بدل گئے،اب پاکستانی فنکاروں کے ساتھ کام نہیں کروں گا کرن جوہر
83,bbc dataset,entertainment,خط نقشے کی مدد سے منزل پر پہنچ گیا
84,bbc dataset,entertainment,خوبرو چائے والے کا مقدر چمک گیا
85,bbc dataset,entertainment,درجہ حرارت بڑھنے سے پرندوں کی قبل ازقت ہجرت
86,bbc dataset,entertainment,دس چیزین جن سے ہم گذشتہ ہفتے لا علم تھے
87,bbc dataset,entertainment,دس چیزیں جن سے ہم گذشتہ ہفتے لاعلم تھے
88,bbc dataset,entertainment,دل دل پاکستان جو دوسرا قومی ترانہ بنا
89,bbc dataset,entertainment,دماغ کی ریڈیوتھراپی پھیپھڑوں کے کینسر پر بے اثر  
90,bbc dataset,entertainment,دنیا میں 2017 کا والہانہ استقبال
91,bbc dataset,entertainment,دنیا میں ایسے والدین جنھیں بچوں کے ہونے پر پچھتاوا ہے
92,bbc dataset,entertainment,دنیا میں کسی مہلک وبا کا مقابلہ کرنے کی صلاحیت نہیں بل گیٹس
93,bbc dataset,entertainment,دنیا کے اہم واقعات کی تصویری جھلک
94,bbc dataset,entertainment,دنیا کے بلند ترین پل کا نظارہ
